NP_type,Coating,core_size_nm,hydro_size_nm,Surf_charge_mV,Surface_area_m2_g,shape,Dose_microg_mL,Duration_h,Cell_name,Cell_species,cell_Organ,Cell_morphology,Cell_age,cell_type,sex,Assay,Test_indicator,nanomaterial_group,Viability
Pt,PVP,13.5,,-8.0,,Sphere,100.0,72.0,MCF7,Human,Breast,Epithelial,Adult,cancer,female,CellTiter_Glo,luciferase,other,85.28
Polystyrene,None,100.0,,-39.05,,Sphere,25.0,24.0,Macrophages,Human,Lung,Macrophage,Adult,Normal,,MTT,TetrazoliumSalt,other,100.69
CdSe,PULsin,4.0,,,,,0.01,24.0,EAhy926,Human,Somatic Cell-hybrid,Endothelial,,Normal,male,MTS,TetrazoliumSalt,quantum_dots,50.0
CdSe,None,4.0,,,,,0.2,24.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,MTS,TetrazoliumSalt,quantum_dots,78.0
Ag,Citrate_based,50.0,96.5,-35.0,,Sphere,12.5,72.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTS,TetrazoliumSalt,other,77.64
PLGA,Chitosan,204.0,,10.0,,,0.0,24.0,MDBK,Cow,Kidney,Epithelial,Adult,Normal,male,MTS,TetrazoliumSalt,other,95.27
SLN,None,98.4,,-14.6,,,0.0,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,WST-1,TetrazoliumSalt,other,67.07
Au,None,18.0,,,,Rod,0.3,24.0,MG­63,Human,Bone,Fibroblast,Adult,cancer,male,NR,toluylene red,other,95.07
Carbon,None,35.29,,,,,0.0,24.0,LLC­PK1,Pig,Kidney,Epithelial,neonate,Normal,male,WST-1,TetrazoliumSalt,carbon,97.31
CdSe,None,7.5,,,,,0.05,24.0,L-02,Human,Liver,Epithelial,Adult,cancer,female,WST-1,TetrazoliumSalt,quantum_dots,94.5
CdSe,None,5.0,,,,,0.04,2.0,Neuron,Mouse,Cortex,Neural,Adult,Normal,,Live/Dead,,quantum_dots,99.0
CdSe,CPP,7.1,,,,,60.0,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,quantum_dots,7.0
SiO2,sodium_based,345.2,,-13.0,,Sphere,200.0,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,Alamar_Blue,AlamarBlue,meta_oxide,90.72
CdTe,Melphalan,4.0,,,,,0.15,48.0,HBL-100,Human,Breast,Epithelial,,Normal,male,MTT,TetrazoliumSalt,quantum_dots,78.0
Dendrimer,None,1.9,,16.0,,Sphere,5.0,1.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,Live/Dead,propidium_iodide,other,97.2
Au,None,13.5,,-8.1,,Sphere,2.5,72.0,L-02,Human,Liver,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,other,33.73
Dendrimer,None,6.2,,21.5,,,2.0,24.0,J774,Mouse,Blood,Monocyte/Macrophage,Adult,cancer,female,MTT,TetrazoliumSalt,other,16.84
CdSe,CPP,4.3,,,,,0.1,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,SRB,resazurin/sulforhodamine_B,quantum_dots,101.25
Ag,None,,,,,Sphere,500.0,48.0,EBF,Human,Embryo,Fibroblast,,Normal,,CCK_8,TetrazoliumSalt,other,-1.53
TiO2,None,100.0,,,,,0.0,3.0,Lymphocyte,Human,Blood,Lymphoblast,Adult,Normal,,NR,toluylene red,meta_oxide,100.0
CdTe,None,4.0,,,,,44.0,24.0,HeLa,Human,Cervix,Epithelial,Adult,cancer,female,MTT,TetrazoliumSalt,quantum_dots,50.0
CdSe,None,5.5,,,,,0.42,24.0,BHK-21,Hamster,Kidney,Fibroblast,,cancer,,MTT,TetrazoliumSalt,quantum_dots,22.0
ZnO,None,100.0,273.4,-11.7,20.0,,40.0,48.0,SH­SY5Y,Human,BoneMarrow,Epithelial,Young,cancer,female,NR,toluylene red,meta_oxide,63.98
CdSe,Cystein_based,4.8,,,,,0.1,24.0,HEK293,Human,Kidney,Epithelial,fetus,cancer,female,SRB,resazurin/sulforhodamine_B,quantum_dots,98.67
